channel1,channel2,channel3
-0.004664613238207828,-0.014086219493427024,-0.01887181673569384
-0.008208456459790426,-0.01768983694235339,-0.025482492265418294
-0.0194556203590225,-0.029364130301647518,-0.03283640715288411
-0.030659374151976834,-0.037645314558041675,-0.03546313506937379
-0.02211942233515641,-0.026224344801592865,-0.02649809884121395
0.004925073875874255,-0.001609140068778011,-0.009643646076532394
0.026965568745071142,0.019174099178742864,0.005147278781873442
0.03334290799460063,0.032396877659654856,0.014855554367774651
0.03736820875853632,0.044078306895085476,0.025260905376153785
0.04794843557041042,0.054214818946966475,0.03847302364855001
0.05419554450110669,0.055559931598694434,0.04742882708965716
0.04539513204661984,0.04464560904793626,0.044229666375900846
0.026582770535167454,0.02723763921297414,0.03004348906944606
0.008184778220002568,0.014104059183768244,0.018036249507425592
-0.006689102740069602,0.008552347549580694,0.01775926589584496
-0.019092554015608693,0.003567938068243927,0.019471947894118543
-0.03029236143526505,-0.004467058461441397,0.012048787103757563
-0.03912039850283774,-0.012316522211578036,0.002345127911382698
-0.03957423143210499,-0.02039790193615053,-0.002654426277647739
-0.029053200219700533,-0.029121510513006932,-0.008941954260528122
-0.012265328210109925,-0.029667405037448254,-0.015257180604566569
0.0050474114481115166,-0.017828986527014902,-0.010802360851644712
0.016282736227449662,-0.003860508989839929,0.001869639378169277
0.018236191009947864,0.00548748874895916,0.013022846137816124
0.020343554351067137,0.014953228444010298,0.022583397130874327
0.030363396154628623,0.025931773879996862,0.030103502185288532
0.04273133007048593,0.03570078831084873,0.030569757931449264
0.05273538638085551,0.04510944099680797,0.027559869352273045
0.05830371910429988,0.050457780161105616,0.027832236570327337
0.05245124750340122,0.04387493442519557,0.027425993940009073
0.03045810911378005,0.026245752430002326,0.021738597115553395
-0.0012667858286503494,0.0025118284000437245,0.010400734614852792
-0.028125802494676135,-0.02487566421179666,-0.009223554265635099
-0.03816142979142952,-0.04469199224282343,-0.02877398084970149
-0.03329555151502491,-0.04359663525587255,-0.03004348906944606
-0.026468325709526147,-0.030056310286886843,-0.015104839618197221
-0.02547778601173413,-0.024936319158956808,-0.006453718149828764
-0.029005843740124822,-0.03089120779485592,-0.011319396926595228
-0.02825603281350935,-0.031793896126121636,-0.013281364175291382
-0.011914100986590046,-0.01627336552926055,0.0014449311737456387
0.015805225058394545,0.011528007898496128,0.026992052948532748
0.03951898220593333,0.039097465351816955,0.047853535294080804
0.05457044996441442,0.057689990625436054,0.06105642077942434
0.0650401783239452,0.06930719697563828,0.07151255211659326
0.06991000297364779,0.07570807787006789,0.07137867670432929
0.06501650008415734,0.06892899554040442,0.054187227212224624
0.054929569934530256,0.05182786837931128,0.03661261705743342
0.04930598798491422,0.04292586289904269,0.03711580395180491
0.04694211037942649,0.04434947018827201,0.0476642631595007
0.039980707881796536,0.043239841449048154,0.049303082861352786
0.03136972134561254,0.04043901006547667,0.040965876152775714
0.02951097952226577,0.04065308634957131,0.03382893176104805
0.02778246801775221,0.034591159571624876,0.0255148070201027
0.0023915022185735566,0.007967205706388689,-0.004399423030605731
-0.05564386350146394,-0.043696537521783374,-0.06346617820017585
-0.1150446743826012,-0.10259605915235412,-0.12268527435611531
-0.14044747930167378,-0.1385287634376387,-0.1478215371070578
-0.13240082414710036,-0.13803638798422105,-0.13625747132356636
-0.10588908833129648,-0.10858662716893568,-0.10404889369026502
-0.06968900606896111,-0.06767308134038257,-0.0667530503909327
-0.03655130948585525,-0.03548314408868585,-0.038842335130657525
-0.014672615921875385,-0.017268820250300607,-0.02259724631145336
0.0025059470442148654,-0.000685044109102834,-0.005872052565509433
0.01859925735336167,0.019727129579320674,0.0146293510849838
0.028323121159574943,0.034002449790364625,0.031008315316451936
0.03034761066143672,0.03425934133127819,0.039756381048873614
0.03153941539742552,0.02802972146412429,0.042863213892103055
0.03877311765261583,0.02886461897209337,0.04526373852580188
0.045872643215674955,0.036039742427331906,0.04933078122251085
0.043031254441132115,0.038283975472257335,0.050609522229308104
0.03140129233199635,0.030741354395989677,0.04047653843898326
0.010682832517621482,0.012655476328061209,0.012173429728968848
-0.015094877864758835,-0.009244527534820015,-0.025085482422152718
-0.028919023527569344,-0.017718380446899343,-0.04843981727192648
-0.032194513364889564,-0.015170872666173178,-0.05004170582556781
-0.04296416609506652,-0.024208459793035045,-0.04371724669447667
-0.058118239559295,-0.0451201448110127,-0.04241080732652135
-0.059787555464338914,-0.057079873215766345,-0.04839826973018938
-0.04779452701178935,-0.05329429092535954,-0.05762644038935082
-0.04268791996420819,-0.0470932145627516,-0.06589901758855908
-0.05191454073487647,-0.04844903102868429,-0.06847958156978531
-0.05647260189403894,-0.049558659767908145,-0.05819887318661747
-0.044025740512222106,-0.03981105296546574,-0.039465548256713945
-0.024945025616507344,-0.02232102055493401,-0.025270138163206474
-0.011657586722221594,-0.004360020319394079,-0.014380065834561228
-0.003311007197002003,0.013279865490003897,0.00035546230152847983
0.0046133103853341385,0.02490420771634261,0.012727396952130115
0.011993028452549568,0.024947022973161537,0.01719144949210466
0.021168346370344156,0.025699857905561008,0.02410219060104147
0.03462942568974086,0.03473030915628639,0.03627100393648398
0.04691448576634066,0.03738485507905987,0.038002151508862936
0.05189875524168456,0.030598636873259918,0.0299003808701294
0.05420738362100062,0.03164404272725539,0.02930948249875738
0.060868861747984386,0.04462776935759504,0.036391030168168914
0.0670922924388928,0.05596667653847424,0.04236925978478426
0.062281663388659855,0.05337992143899739,0.04297400733673531
0.03724192481300108,0.03193304571078315,0.028912472655491808
-0.0066851563667716255,-0.002686657365387677,-0.0015003278960617655
-0.043240412225924854,-0.031194482530656653,-0.027947646408485932
-0.0435640148363589,-0.03767385806258763,-0.031105259580505158
-0.01840588506176084,-0.02991002482608884,-0.01957350855169811
-0.006499676821766745,-0.02728402240786131,-0.013913810088400496
-0.019337229160083215,-0.03302126682159755,-0.015617259299621393
